nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
coutevroult,26351.2,38,COUTEVROULT
cravent,27273.83,28,CRAVENT
crecy la chapelle,28187.48,111,CRECY LA CHAPELLE
cregy les meaux,25720.34,47,CREGY LES MEAUX
crespieres,36662.44,57,CRESPIERES
creteil,24972.87,190,CRETEIL
crevecoeur en brie,28489.11,19,CREVECOEUR EN BRIE
crisenoy,31129.5,21,CRISENOY
croissy beaubourg,29391.35,30,CROISSY BEAUBOURG
croissy sur seine,43141.16,70,CROISSY SUR SEINE
crosne,26532.4,56,CROSNE
crouy sur ourcq,24307.87,45,CROUY SUR OURCQ
cuisy,26539.95,14,CUISY
d huison longueville,27971.12,45,D HUISON LONGUEVILLE
dagny,27149.23,33,DAGNY
dammarie les lys,24900.83,155,DAMMARIE LES LYS
dammartin en goele,26617.5,102,DAMMARTIN EN GOELE
dammartin en serve,29639.62,37,DAMMARTIN EN SERVE
dammartin sur tigeaux,27963.99,34,DAMMARTIN SUR TIGEAUX
dampierre en yvelines,39098.68,54,DAMPIERRE EN YVELINES
dampmart,27954.44,44,DAMPMART
dannemarie,31558.92,18,DANNEMARIE
dannemois,29318.16,34,DANNEMOIS
darvault,25102.56,30,DARVAULT
daumazan sur arize,20707.69,49,DAUMAZAN SUR ARIZE
davron,43550.44,16,DAVRON
deuil la barre,27319.53,92,DEUIL LA BARRE
dhuisy,25948.29,19,DHUISY
diant,23710.31,21,DIANT
domont,27999.98,107,DOMONT
donnemarie dontilly,24216.83,77,DONNEMARIE DONTILLY
dormelles,28949.82,61,DORMELLES
doue,26629.05,69,DOUE
dourdan,27883.36,137,DOURDAN
douy la ramee,25612.18,16,DOUY LA RAMEE
drancy,19690.35,179,DRANCY
draveil,28865.95,197,DRAVEIL
drocourt,29708.79,14,DROCOURT
dugny,18692.81,29,DUGNY
eaubonne,29092.31,105,EAUBONNE
echarcon,30144.03,20,ECHARCON
echouboulains,24268.96,30,ECHOUBOULAINS
ecouen,27795.07,61,ECOUEN
ecquevilly,27393.34,47,ECQUEVILLY
egligny,25411.22,22,EGLIGNY
egly,27099.89,57,EGLY
egreville,24553.66,107,EGREVILLE
elancourt,30443.88,144,ELANCOURT
emance,31977.55,57,EMANCE
emerainville,27220.45,52,EMERAINVILLE
enghien les bains,32006.33,40,ENGHIEN LES BAINS
ennery,30524.92,39,ENNERY
epiais les louvres,26409.64,7,EPIAIS LES LOUVRES
epiais rhus,29442.18,31,EPIAIS RHUS
epinay champlatreux,24781.11,9,EPINAY CHAMPLATREUX
epinay sous senart,24398.42,41,EPINAY SOUS SENART
epinay sur orge,29308.82,73,EPINAY SUR ORGE
epinay sur seine,19871.44,108,EPINAY SUR SEINE
epone,28989.18,93,EPONE
eragny,27458.93,99,ERAGNY
ermont,28648.64,101,ERMONT
esbly,27184.14,69,ESBLY
escosse,22131.53,49,ESCOSSE
esmans,24121.94,41,ESMANS
etampes,23577.6,226,ETAMPES
etiolles,34636.96,53,ETIOLLES
etrechy,27571.35,103,ETRECHY
etrepilly,26129.57,21,ETREPILLY
evecquemont,32046.19,18,EVECQUEMONT
everly,23494.76,23,EVERLY
evry,23497.57,219,EVRY
evry gregy sur yerre,29240.85,72,EVRY GREGY SUR YERRE
ezanville,27523.48,55,EZANVILLE
fabas,20315.8,43,FABAS
faremoutiers,26205.47,55,FAREMOUTIERS
favieres,29708.75,51,FAVIERES
favrieux,30164.93,13,FAVRIEUX
fay les nemours,27038.24,25,FAY LES NEMOURS
fericy,30455.42,22,FERICY
ferolles attilly,32299.12,32,FEROLLES ATTILLY
ferrieres en brie,30106.2,32,FERRIERES EN BRIE
feucherolles,42395.48,82,FEUCHEROLLES
flacourt,32140.81,7,FLACOURT
flagy,26650.45,18,FLAGY
fleury en biere,32373.02,34,FLEURY EN BIERE
fleury merogis,23129.34,41,FLEURY MEROGIS
flexanville,32699.04,37,FLEXANVILLE
flins neuve eglise,28660.92,13,FLINS NEUVE EGLISE
flins sur seine,26785.41,30,FLINS SUR SEINE
follainville dennemont,26822.47,58,FOLLAINVILLE DENNEMONT
fontaine fourches,21967.36,22,FONTAINE FOURCHES
fontaine la riviere,29045.99,18,FONTAINE LA RIVIERE
fontaine le port,32058.01,47,FONTAINE LE PORT
fontainebleau,29983.7,133,FONTAINEBLEAU
fontains,28761.57,23,FONTAINS
fontenailles,26683.51,46,FONTENAILLES
fontenay aux roses,33348.71,59,FONTENAY AUX ROSES
fontenay en parisis,25225.1,38,FONTENAY EN PARISIS
fontenay le fleury,31685.14,51,FONTENAY LE FLEURY
fontenay le vicomte,29811.87,32,FONTENAY LE VICOMTE
fontenay les briis,29839.12,73,FONTENAY LES BRIIS
fontenay mauvoisin,29712.83,15,FONTENAY MAUVOISIN
fontenay sous bois,28258.85,126,FONTENAY SOUS BOIS
fontenay st pere,29290.26,38,FONTENAY ST PERE
